network,channel,station,location,starttime,endtime,sampling_rate,mean_data,PC1,PC2
ZZ,HHN,FWU3,10,2019-11-27T00:00:00,2019-11-27T23:59:59.996000,250.0,-2964.0,-0.7448820609462447,0.2094036409287476
ZZ,HHN,FWU3,10,2019-11-01T00:00:00,2019-11-01T23:59:59.996000,250.0,-2181.6666666666665,-0.4527719015101524,0.13428184193740672
ZZ,HHN,FWU3,10,2019-12-20T00:00:00,2019-12-20T23:59:59.996000,250.0,-4180.666666666667,-0.9955244900410621,0.13706626619429482
ZZ,HHN,FWU3,10,2019-11-07T00:00:00,2019-11-07T23:59:59.996000,250.0,-1873.3333333333333,-0.35572890130346657,0.03689464027444383
ZZ,HHZ,FWU3,10,2019-12-05T00:00:00,2019-12-05T23:59:59.996000,250.0,913.0,0.338547929069498,-0.05773968422805714
ZZ,HHZ,FWU3,10,2019-12-25T00:00:00,2019-12-25T23:59:59.996000,250.0,-77.33333333333333,0.12664317134953043,-0.29222826495112675
ZZ,HHZ,FWU3,10,2019-11-30T00:00:00,2019-11-30T23:59:59.996000,250.0,-272.3333333333333,0.05698932712838117,0.15602783474606827
ZZ,HHZ,FWU3,10,2019-11-03T00:00:00,2019-11-03T23:59:59.996000,250.0,-1376.3333333333333,-0.26166156931222434,0.25688620109859595
ZZ,HHZ,FWU3,10,2019-12-11T00:00:00,2019-12-11T23:59:59.996000,250.0,-2040.3333333333333,-0.4151107632116346,-0.17194990294781537
ZZ,HHZ,FWU3,10,2019-11-13T00:00:00,2019-11-13T23:59:59.996000,250.0,614.3333333333334,0.29286108589694215,0.14515413533618668
ZZ,HHZ,FWU3,10,2019-11-10T00:00:00,2019-11-10T23:59:59.996000,250.0,-813.6666666666666,-0.09339127893386909,-0.11595133158368916
ZZ,HHZ,FWU3,10,2019-12-01T00:00:00,2019-12-01T23:59:59.996000,250.0,1350.3333333333333,0.48778310648243944,0.13404254441361962
ZZ,HHZ,FWU3,10,2019-12-08T00:00:00,2019-12-08T23:59:59.996000,250.0,-156.0,0.08635792514685202,0.12211543958946229
ZZ,HHZ,FWU3,10,2019-12-24T00:00:00,2019-12-24T23:59:59.996000,250.0,99.0,0.1648412180986393,0.005192630656290794
ZZ,HHZ,FWU3,10,2019-11-11T00:00:00,2019-11-11T23:59:59.996000,250.0,-381.6666666666667,0.017900892976355547,0.3292448019707931
ZZ,HHZ,FWU3,10,2019-12-02T00:00:00,2019-12-02T23:59:59.996000,250.0,-2121.0,-0.4371495367199242,-0.8943522750010799
ZZ,HHZ,FWU3,10,2019-11-04T00:00:00,2019-11-04T23:59:59.996000,250.0,1688.6666666666667,0.6308711651371028,-3.2257604211161763
ZZ,HHZ,FWU3,10,2019-12-06T00:00:00,2019-12-06T23:59:59.996000,250.0,85.0,0.15117731965064413,0.08735370153093776
ZZ,HHZ,FWU3,10,2019-11-25T00:00:00,2019-11-25T23:59:59.996000,250.0,-582.0,-0.02877223099308448,0.16082734438689383
ZZ,HHZ,FWU3,10,2019-11-17T00:00:00,2019-11-17T23:59:59.996000,250.0,1250.0,0.46292451573574644,0.12728964907400872
ZZ,HHZ,FWU3,10,2019-12-20T00:00:00,2019-12-20T23:59:59.996000,250.0,-640.3333333333334,-0.04325339850076904,0.11984176574771284
ZZ,HHZ,FWU3,10,2019-11-06T00:00:00,2019-11-06T23:59:59.996000,250.0,5749.666666666667,1.6669369563112058,1.0045537095867796
ZZ,HHZ,FWU3,10,2019-11-23T00:00:00,2019-11-23T23:59:59.996000,250.0,-417.6666666666667,-0.001703200369024014,0.3656993924685676
ZZ,HHZ,FWU3,10,2019-11-07T00:00:00,2019-11-07T23:59:59.996000,250.0,525.6666666666666,0.2724497680069499,0.20548479429014818
ZZ,HHZ,FWU3,10,2019-11-01T00:00:00,2019-11-01T23:59:59.996000,250.0,443.3333333333333,0.2454381407157082,0.1305683084350683
ZZ,HHZ,FWU3,10,2019-11-22T00:00:00,2019-11-22T23:59:59.996000,250.0,-1842.6666666666667,-0.37707904115749896,0.4296172329292462
ZZ,HHZ,FWU3,10,2019-12-12T00:00:00,2019-12-12T23:59:59.996000,250.0,-853.6666666666666,-0.10277153689466034,0.12927630273559107
ZZ,HHZ,FWU3,10,2019-11-19T00:00:00,2019-11-19T23:59:59.996000,250.0,-95.33333333333333,0.10205908148073507,0.1439469821697815
ZZ,HHZ,FWU3,10,2019-11-02T00:00:00,2019-11-02T23:59:59.996000,250.0,1161.0,0.43759905357314455,0.15014638736596506
ZZ,HHZ,FWU3,10,2019-11-14T00:00:00,2019-11-14T23:59:59.996000,250.0,2890.0,0.9221447715707641,0.7587995431554561
ZZ,HHZ,FWU3,10,2019-12-10T00:00:00,2019-12-10T23:59:59.996000,250.0,-132.66666666666666,0.09312484792552655,0.10343855997880833
ZZ,HHZ,FWU3,10,2019-12-21T00:00:00,2019-12-21T23:59:59.996000,250.0,-4300.666666666667,-1.0370732376789007,0.07863615110963347
ZZ,HHZ,FWU3,10,2019-12-17T00:00:00,2019-12-17T23:59:59.996000,250.0,-1199.3333333333333,-0.17495427346563527,-0.5278270837828573
ZZ,HHZ,FWU3,10,2019-12-13T00:00:00,2019-12-13T23:59:59.996000,250.0,-9.333333333333334,0.12477421958657749,-0.31056028744145336
ZZ,HHZ,FWU3,10,2019-12-26T00:00:00,2019-12-26T23:59:59.996000,250.0,-105.0,0.10305171448382415,0.5709826676414067
ZZ,HHZ,FWU3,10,2019-11-09T00:00:00,2019-11-09T23:59:59.996000,250.0,-68.33333333333333,0.1082628848731286,0.07278997139001235
ZZ,HHZ,FWU3,10,2019-11-21T00:00:00,2019-11-21T23:59:59.996000,250.0,-293.3333333333333,0.049516142534995165,0.11697688503381519
ZZ,HHZ,FWU3,10,2019-12-23T00:00:00,2019-12-23T23:59:59.996000,250.0,-2505.6666666666665,-0.5437298705967861,-0.4100567839138456
