Table 1
Unit Name,Type of Downtime Entry,First Day,Downtime on First Day,Downtime Code 1,Last Day,Downtime on Last Day,Total Downtime,,,,,,,,,,,,,,,,,,,
FWU #1312,single day,9/7/19,24.00,Surface Equipment Failure,9/7/19,,24.00,grounded,,,,,,,,,,,,,,,,,,
FWU #501,single day,9/12/19,6.00,Power Failure,9/12/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #503,single day,9/12/19,6.00,Power Failure,9/12/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #601,single day,9/12/19,6.00,Power Failure,9/12/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,9/12/19,6.00,Power Failure,9/12/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #701,single day,9/12/19,6.00,Power Failure,9/12/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #907,single day,9/12/19,6.00,Power Failure,9/12/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #909,single day,9/12/19,6.00,Power Failure,9/12/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #501,single day,9/13/19,,Power Failure,9/13/19,,0.00,,,,,,,,,,,,,,,,,,,
FWU #503,single day,9/13/19,,Power Failure,9/13/19,,0.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,9/14/19,10.00,Surface Equipment Failure,9/14/19,,10.00,,,,,,,,,,,,,,,,,,,
FWU #601,single day,9/21/19,8.00,Downhole Failure,9/21/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #1313 (INJ),multi day,9/23/19,24.00,Downhole Failure,11/18/19,,"1,344.00",,,,,,,,,,,,,,,,,,,
FWU #601,single day,9/23/19,24.00,Downhole Failure,9/23/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #1313 (INJ),multi day,9/23/19,24.00,Downhole Failure,11/18/19,,"1,344.00",,,,,,,,,,,,,,,,,,,
FWU #601,single day,9/24/19,24.00,Downhole Failure,9/24/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #601,multi day,9/25/19,24.00,Downhole Failure,10/20/19,,600.00,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,9/28/19,8.00,Downhole Failure,9/28/19,,8.00,power issue/ restarted,,,,,,,,,,,,,,,,,,
FWU #808,single day,9/28/19,8.00,Downhole Failure,9/28/19,,8.00,called tech out!,,,,,,,,,,,,,,,,,,
FWU #808,single day,9/29/19,24.00,Surface Equipment Failure,9/29/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #2008,single day,9/30/19,1.00,Downhole Failure,9/30/19,,1.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,9/30/19,8.00,Power Failure,9/30/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,10/1/19,12.00,Surface Equipment Failure,10/1/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,10/2/19,12.00,Downhole Failure,10/2/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,10/3/19,15.00,Downhole Failure,10/3/19,,15.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,10/4/19,12.00,Downhole Failure,10/4/19,,12.00,,,,,,,,,,,,,,,,,,,
