Table 1
Unit Name,Meter Name,Date,End Reading,,,,,,,
FWU #803 (INJ),FWU #803 Water,6/10/19,"1,501.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/10/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/10/19,"1,443.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/10/19,0.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/11/19,"7,812.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/11/19,"2,038.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/11/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/11/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/11/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/11/19,435.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/11/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/11/19,"1,885.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/11/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/11/19,435.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/11/19,567.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/11/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/11/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/11/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 Water,6/11/19,"1,147.00",,,,,,,
FWU #803 (INJ),FWU #803 Water,6/11/19,"1,398.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/11/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/11/19,"1,389.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/11/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/11/19,0.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/12/19,"7,827.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/12/19,"2,080.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/12/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/12/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/12/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/12/19,656.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/12/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/12/19,"1,231.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/12/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/12/19,416.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/12/19,542.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/12/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/12/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/12/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/12/19,"117,818.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/12/19,"1,033.00",,,,,,,
FWU #803 (INJ),FWU #803 Water,6/12/19,"1,328.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/12/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/12/19,"1,347.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/12/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/12/19,1.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/13/19,"7,455.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/13/19,"2,020.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/13/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/13/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/13/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/13/19,652.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/13/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/13/19,"1,568.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/13/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/13/19,420.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/13/19,542.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/13/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/13/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/13/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/13/19,"117,901.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/13/19,984.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,6/13/19,"1,285.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/13/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/13/19,"1,344.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/13/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/13/19,2.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/14/19,"7,806.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/14/19,"2,002.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/14/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/14/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/14/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/14/19,650.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/14/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/14/19,"1,172.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/14/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/14/19,443.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/14/19,573.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/14/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/14/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/14/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/14/19,"117,982.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/14/19,968.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,6/14/19,"1,301.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/14/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/14/19,"1,352.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/14/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/14/19,663.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/15/19,"7,683.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/15/19,"1,412.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/15/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/15/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/15/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/15/19,654.00,,,,,,,
